,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary,age_group,has_child,child_jitter
6472,54,Self-emp-not-inc,108933,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,35,United-States,<=50K,52-56,Без детей,0.3617463595314122
6473,24,Private,190143,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40,United-States,<=50K,22-26,Без детей,0.21197689288757632
6474,37,Private,246677,HS-grad,9,Separated,Prof-specialty,Unmarried,White,Female,0.0,0.0,38,United-States,<=50K,37-41,Без детей,0.21124165106211348
6475,38,Private,175360,10th,6,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,2559.0,90,United-States,>50K,37-41,Без детей,0.13170203506584904
6476,41,Local-gov,210259,Masters,14,Never-married,Prof-specialty,Not-in-family,Black,Female,0.0,0.0,40,United-States,<=50K,37-41,Без детей,0.29326016519928977
6477,36,Private,166304,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,33,United-States,<=50K,32-36,Без детей,0.32810557497967086
6478,43,Private,303051,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024.0,0.0,40,United-States,>50K,42-46,Без детей,0.16518599208640078
6479,39,Private,49308,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K,37-41,Без детей,0.16831992384811617
6480,26,Private,192262,Bachelors,13,Never-married,Sales,Own-child,White,Male,0.0,0.0,45,United-States,<=50K,22-26,С детьми,0.8196199799931451
6481,49,Local-gov,192349,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,4650.0,0.0,40,United-States,<=50K,47-51,Без детей,0.27790977960499474
6482,37,Self-emp-not-inc,48063,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,55,United-States,>50K,37-41,Без детей,0.14076653383065207
6483,43,Private,170214,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50,United-States,>50K,42-46,Без детей,0.2794112777109476
6484,54,Federal-gov,51048,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,>50K,52-56,Без детей,0.20414025348250386
6485,53,Self-emp-inc,246562,5th-6th,3,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40,Mexico,>50K,52-56,Без детей,0.21849403731300304
6486,57,Local-gov,215175,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,60,United-States,<=50K,57-61,Без детей,0.31473554039125123
6487,28,Private,114967,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,>50K,27-31,Без детей,0.32462444624142656
6488,29,Private,464536,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40,United-States,<=50K,27-31,Без детей,0.22608559044155935
6489,21,Private,451996,HS-grad,9,Never-married,Sales,Own-child,White,Male,0.0,0.0,40,United-States,<=50K,17-21,С детьми,0.8573167046415251
6490,51,Private,138852,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,<=50K,47-51,Без детей,0.22755105230849731
6491,46,State-gov,353012,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40,United-States,<=50K,42-46,Без детей,0.31524064845522637
6492,50,Self-emp-inc,321822,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,75,United-States,>50K,47-51,Без детей,0.24613054349542218
6493,50,Self-emp-not-inc,324506,HS-grad,9,Widowed,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0.0,0.0,48,South,<=50K,47-51,Без детей,0.34540775836530013
6494,36,Private,162256,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40,United-States,<=50K,32-36,Без детей,0.3478626984760429
6495,31,Local-gov,356689,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,<=50K,27-31,Без детей,0.15098003388906012
6496,20,Private,260199,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,10,United-States,<=50K,17-21,С детьми,0.8547583995144542
6497,36,Private,103605,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40,United-States,<=50K,32-36,Без детей,0.32812836196489975
6498,38,Private,316211,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,0.0,0.0,40,United-States,<=50K,37-41,С детьми,0.81991457143504
6499,37,Private,308691,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45,United-States,>50K,37-41,Без детей,0.1782187215245254
6500,39,Private,194404,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688.0,0.0,40,United-States,>50K,37-41,Без детей,0.3232286101011196
6501,18,Private,334427,10th,6,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,36,United-States,<=50K,17-21,С детьми,0.8340318563244088
6502,33,Private,213226,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,50,United-States,<=50K,32-36,Без детей,0.19939608026899625
6503,35,Private,342824,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Female,1151.0,0.0,40,United-States,<=50K,32-36,Без детей,0.3585424188069577
6504,23,Private,33105,Some-college,10,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,0.0,0.0,40,United-States,<=50K,22-26,С детьми,0.6419664351357994
6505,37,Private,147638,Bachelors,13,Separated,Other-service,Unmarried,Asian-Pac-Islander,Female,0.0,0.0,36,Philippines,<=50K,37-41,Без детей,0.1659782207793135
6506,25,Private,315643,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,30,United-States,<=50K,22-26,Без детей,0.2590194731323634
6507,51,Federal-gov,106257,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,Black,Male,0.0,0.0,40,United-States,<=50K,47-51,Без детей,0.2681901930693543
6508,35,Private,342768,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,<=50K,32-36,Без детей,0.2848360199922168
6509,54,Private,108960,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40,United-States,<=50K,52-56,Без детей,0.13407259103571195
6511,32,Private,136935,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0.0,0.0,13,United-States,<=50K,32-36,Без детей,0.3604880259093113
6512,37,Self-emp-not-inc,188774,Bachelors,13,Never-married,Protective-serv,Not-in-family,White,Male,0.0,0.0,55,United-States,>50K,37-41,Без детей,0.14070114225619457
6513,29,Private,280344,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40,United-States,>50K,27-31,Без детей,0.16433486865361657
6514,45,Private,202496,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,37,United-States,<=50K,42-46,Без детей,0.13336348420625369
6515,61,Self-emp-inc,134768,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40,United-States,<=50K,57-61,Без детей,0.26604602399058275
6516,40,Private,175686,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,40,United-States,<=50K,37-41,Без детей,0.3537440521410333
6517,24,Private,194748,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Female,0.0,0.0,49,United-States,<=50K,22-26,Без детей,0.2898273198593114
6518,49,Private,61307,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,0.0,0.0,38,United-States,<=50K,47-51,Без детей,0.3274377924353026
6519,51,Self-emp-not-inc,165001,Masters,14,Divorced,Exec-managerial,Unmarried,White,Male,25236.0,0.0,50,United-States,>50K,47-51,Без детей,0.1331874888300592
6520,34,Private,325658,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40,United-States,<=50K,32-36,Без детей,0.26008367163513424
6522,20,Private,505980,Some-college,10,Never-married,Sales,Own-child,White,Male,0.0,0.0,40,United-States,<=50K,17-21,С детьми,0.7402951146013252
6523,30,Private,185336,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,0.0,0.0,37,United-States,<=50K,27-31,Без детей,0.24975230661299033
6524,49,Self-emp-inc,362795,Masters,14,Divorced,Prof-specialty,Unmarried,White,Male,99999.0,0.0,80,Mexico,>50K,47-51,Без детей,0.14733116448044511
6525,26,Private,126829,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K,22-26,Без детей,0.2942644866566338
6526,63,Private,264600,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,45,United-States,<=50K,62-66,Без детей,0.2507728995660723
6527,36,Private,82743,Assoc-acdm,12,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,55,Iran,<=50K,32-36,Без детей,0.31363572396670336
6528,63,Self-emp-not-inc,125178,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,>50K,62-66,Без детей,0.24646975217481168
6529,22,Private,128487,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,10,United-States,<=50K,22-26,Без детей,0.16585159269434369
6530,40,Private,321758,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40,United-States,>50K,37-41,Без детей,0.2855816689786773
6531,31,Private,128220,7th-8th,4,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0.0,35,United-States,<=50K,27-31,Без детей,0.1713727269052399
6532,49,Private,176814,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50,Canada,<=50K,47-51,Без детей,0.33937469520515556
6534,23,State-gov,156423,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,20,United-States,<=50K,22-26,С детьми,0.7771478973766179
6535,25,Private,169905,Assoc-voc,11,Never-married,Sales,Not-in-family,White,Male,27828.0,0.0,40,United-States,>50K,22-26,Без детей,0.167728932053669
6537,28,Private,176972,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45,United-States,>50K,27-31,Без детей,0.36096113379548966
6538,44,Self-emp-not-inc,171424,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0.0,2205.0,35,United-States,<=50K,42-46,Без детей,0.25440771120047695
6539,33,Private,91811,HS-grad,9,Separated,Transport-moving,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K,32-36,Без детей,0.1474956284491972
6540,21,Private,203924,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,2597.0,0.0,45,United-States,<=50K,17-21,Без детей,0.28043989705961614
6541,55,Private,177484,11th,7,Married-civ-spouse,Other-service,Husband,Black,Male,0.0,1672.0,40,United-States,<=50K,52-56,Без детей,0.19076773768307445
6543,75,Self-emp-not-inc,242108,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,2346.0,0.0,15,United-States,<=50K,67+,Без детей,0.3228864284505526
6544,61,Private,132972,9th,5,Never-married,Machine-op-inspct,Unmarried,Black,Female,0.0,0.0,40,United-States,<=50K,57-61,Без детей,0.32627729765588576
6545,53,Private,157947,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40,United-States,<=50K,52-56,Без детей,0.36494736540511885
6546,26,Local-gov,177482,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,45,United-States,>50K,22-26,Без детей,0.2504486874458809
6547,48,Private,246891,Some-college,10,Widowed,Sales,Unmarried,White,Male,0.0,0.0,50,United-States,>50K,47-51,Без детей,0.2391896511346569
6548,28,State-gov,158834,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50,United-States,>50K,27-31,Без детей,0.31083414530715536
6550,29,Private,110442,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,45,United-States,<=50K,27-31,Без детей,0.16179295752206238
6551,25,Private,240676,Some-college,10,Divorced,Tech-support,Own-child,White,Female,0.0,0.0,40,United-States,<=50K,22-26,С детьми,0.7612597233103497
6552,37,Private,192939,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40,United-States,<=50K,37-41,Без детей,0.26109942403140424
6553,43,Local-gov,260696,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0.0,0.0,55,United-States,<=50K,42-46,Без детей,0.15147354947449293
6554,40,Local-gov,55363,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40,United-States,<=50K,37-41,Без детей,0.23031618052165925
6555,34,Private,144949,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45,United-States,>50K,32-36,Без детей,0.33478835165612847
6556,55,Private,116878,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024.0,0.0,30,United-States,>50K,52-56,Без детей,0.33547686927871845
6557,31,Local-gov,357954,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,Male,0.0,0.0,20,United-States,<=50K,27-31,Без детей,0.15381703958072346
6559,32,Self-emp-not-inc,190290,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40,Italy,<=50K,32-36,Без детей,0.15177301185947942
6560,26,State-gov,203279,Prof-school,15,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,2463.0,0.0,50,India,<=50K,22-26,Без детей,0.19304691448046446
6561,26,Private,167761,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50,United-States,>50K,22-26,Без детей,0.33994385501295843
6562,44,Private,138845,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40,United-States,<=50K,42-46,Без детей,0.16093662041763973
6563,49,Private,144844,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,52,United-States,>50K,47-51,Без детей,0.3027992326305871
6565,26,Private,55743,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,0.0,0.0,30,United-States,<=50K,22-26,Без детей,0.15427974870714478
6566,40,Self-emp-not-inc,117721,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,60,United-States,<=50K,37-41,Без детей,0.27955308489947805
6567,19,Self-emp-not-inc,116385,11th,7,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40,United-States,<=50K,17-21,Без детей,0.21545615178859476
6568,58,Private,301867,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40,United-States,<=50K,57-61,Без детей,0.3193393511118081
6569,61,Private,238913,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40,United-States,>50K,57-61,Без детей,0.18608570771808727
6570,28,Self-emp-not-inc,123983,Some-college,10,Married-civ-spouse,Sales,Own-child,Asian-Pac-Islander,Male,0.0,0.0,63,South,<=50K,27-31,С детьми,0.7834084390535904
6571,26,Private,165510,Bachelors,13,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,40,United-States,<=50K,22-26,С детьми,0.6865638082982124
6572,64,Private,183513,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,25,United-States,<=50K,62-66,Без детей,0.30127846794691693
6573,42,Self-emp-inc,119281,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,60,United-States,>50K,42-46,Без детей,0.3396827282945797
6574,41,Private,152629,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40,United-States,>50K,37-41,Без детей,0.1604324317904224
6575,45,Private,110171,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K,42-46,Без детей,0.3379829652629208
6576,39,Private,211440,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50,United-States,>50K,37-41,Без детей,0.2724580610594315
6577,41,Local-gov,359259,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40,United-States,<=50K,37-41,Без детей,0.16050651780808575
6578,51,Private,125796,11th,7,Separated,Other-service,Not-in-family,Black,Female,0.0,0.0,40,Jamaica,<=50K,47-51,Без детей,0.2326100452863309
6579,34,Private,39609,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,40,United-States,<=50K,32-36,Без детей,0.1686064704364235
6580,33,Private,111567,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,1902.0,45,Germany,>50K,32-36,Без детей,0.2980834933279767
6581,23,Private,44064,Some-college,10,Separated,Other-service,Not-in-family,White,Male,0.0,2559.0,40,United-States,>50K,22-26,Без детей,0.3121283522603079
6582,35,Self-emp-not-inc,120066,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,60,United-States,<=50K,32-36,Без детей,0.15539116486547175
6583,41,Private,132633,11th,7,Divorced,Priv-house-serv,Unmarried,White,Female,0.0,0.0,25,Guatemala,<=50K,37-41,Без детей,0.25147356464671466
6584,39,Private,192702,Masters,14,Never-married,Craft-repair,Not-in-family,White,Female,0.0,0.0,50,United-States,<=50K,37-41,Без детей,0.3255100134462201
6585,41,Private,166813,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,55,United-States,<=50K,37-41,Без детей,0.35467912997223916
6586,33,Self-emp-inc,40444,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40,United-States,<=50K,32-36,Без детей,0.2532442880180248
6587,22,Private,290504,HS-grad,9,Never-married,Other-service,Other-relative,White,Male,0.0,0.0,40,United-States,<=50K,22-26,Без детей,0.35806701366673765
6588,25,Private,178505,Some-college,10,Never-married,Exec-managerial,Other-relative,White,Female,0.0,1504.0,45,United-States,<=50K,22-26,Без детей,0.25856535290944715
6589,25,Private,175370,Some-college,10,Divorced,Machine-op-inspct,Own-child,White,Female,0.0,0.0,40,United-States,<=50K,22-26,С детьми,0.7246057187039779
6590,77,Self-emp-not-inc,72931,7th-8th,4,Married-spouse-absent,Adm-clerical,Not-in-family,White,Male,0.0,0.0,20,Italy,>50K,67+,Без детей,0.3335687508526949
6592,66,Private,284021,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0.0,0.0,40,United-States,<=50K,62-66,Без детей,0.24831585050994137
6593,19,Private,277974,Some-college,10,Never-married,Sales,Own-child,White,Male,0.0,0.0,35,United-States,<=50K,17-21,С детьми,0.7432566025354855
6594,44,Private,111275,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0.0,0.0,38,United-States,<=50K,42-46,Без детей,0.2476749974583588
6595,45,Self-emp-inc,191776,Masters,14,Divorced,Sales,Unmarried,White,Female,25236.0,0.0,42,United-States,>50K,42-46,Без детей,0.3332284004487389
6596,28,Private,125527,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,50,United-States,<=50K,27-31,Без детей,0.32966597000513254
6597,19,Private,38294,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,2597.0,0.0,40,United-States,<=50K,17-21,Без детей,0.22684479818565068
6598,43,Private,313022,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,4386.0,0.0,40,United-States,>50K,42-46,Без детей,0.209991966368926
6599,39,Private,179668,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,15024.0,0.0,40,United-States,>50K,37-41,Без детей,0.24806272576939103
6600,33,Private,198660,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50,United-States,<=50K,32-36,Без детей,0.2674654023369062
6601,44,Private,216116,HS-grad,9,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0.0,0.0,40,Jamaica,<=50K,42-46,Без детей,0.18720093055071926
6602,62,Private,200922,7th-8th,4,Widowed,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40,United-States,<=50K,62-66,Без детей,0.3205492203317417
6603,40,Private,153372,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50,United-States,>50K,37-41,Без детей,0.2467558637757815
6604,41,Private,406603,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,6,Iran,<=50K,37-41,Без детей,0.2101709316207903
6605,23,Local-gov,248344,Some-college,10,Never-married,Other-service,Not-in-family,Black,Male,0.0,0.0,30,United-States,<=50K,22-26,Без детей,0.15563703831135775
6606,48,Private,240629,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,Italy,>50K,47-51,Без детей,0.18732283849686565
6607,38,Private,314310,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45,United-States,<=50K,37-41,Без детей,0.3578274812214361
6608,37,Private,259785,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50,United-States,>50K,37-41,Без детей,0.2032239248366864
6609,45,Private,127111,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,55,United-States,>50K,42-46,Без детей,0.17052622944808848
6610,29,Private,178272,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40,United-States,<=50K,27-31,Без детей,0.24056146999719835
6611,66,Local-gov,75134,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0.0,0.0,25,United-States,<=50K,62-66,Без детей,0.2037010584064597
6612,19,Private,195985,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,50,United-States,<=50K,17-21,Без детей,0.1384382200650866
6613,23,Private,221955,9th,5,Never-married,Handlers-cleaners,Other-relative,White,Male,0.0,0.0,39,Mexico,<=50K,22-26,Без детей,0.20755485214706015
6614,34,Private,177675,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40,United-States,>50K,32-36,Без детей,0.2605860697454725
6615,39,Private,182828,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,45,United-States,<=50K,37-41,Без детей,0.2624109692847921
6616,33,Self-emp-not-inc,270889,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,60,United-States,<=50K,32-36,Без детей,0.2155741410824533
6617,43,Private,183096,Some-college,10,Separated,Sales,Unmarried,White,Female,0.0,0.0,10,United-States,<=50K,42-46,Без детей,0.23735266150062415
6618,27,Private,336951,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,99,United-States,<=50K,27-31,Без детей,0.36172430037634395
6619,33,State-gov,295589,Some-college,10,Separated,Adm-clerical,Own-child,Black,Male,0.0,0.0,35,United-States,<=50K,32-36,С детьми,0.7205636345352748
6620,26,Private,289980,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,30,Mexico,<=50K,22-26,Без детей,0.19197443518239593
6621,56,Self-emp-inc,70720,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,27828.0,0.0,60,United-States,>50K,52-56,Без детей,0.18843209057602242
6622,46,Private,163352,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,36,United-States,<=50K,42-46,Без детей,0.2398635070489922
6623,38,Private,190776,Assoc-acdm,12,Divorced,Craft-repair,Unmarried,White,Female,0.0,0.0,40,United-States,<=50K,37-41,Без детей,0.31228483569206655
6624,90,Private,313986,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,<=50K,67+,Без детей,0.17943716420523356
6625,72,Self-emp-inc,473748,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,25,United-States,>50K,67+,Без детей,0.30023107051378434
6626,20,Private,163003,HS-grad,9,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0.0,0.0,15,United-States,<=50K,17-21,Без детей,0.13507595760385993
6627,29,Private,183061,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,48,United-States,<=50K,27-31,Без детей,0.23054391471614705
6628,49,Private,123584,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,75,United-States,<=50K,47-51,Без детей,0.31620761564866884
6629,23,Private,120910,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0.0,0.0,35,United-States,<=50K,22-26,Без детей,0.21129590938586354
6630,20,Private,227554,Some-college,10,Married-spouse-absent,Sales,Own-child,Black,Female,0.0,0.0,18,United-States,<=50K,17-21,С детьми,0.7652969043468959
6631,57,Private,182677,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,4508.0,0.0,40,South,<=50K,57-61,Без детей,0.1791950158782186
6632,46,Private,214955,Assoc-acdm,12,Divorced,Prof-specialty,Unmarried,White,Female,0.0,0.0,40,United-States,<=50K,42-46,Без детей,0.3080788938702813
6633,33,Private,209768,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,>50K,32-36,Без детей,0.1425469847845023
6634,24,Private,258120,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,55,Jamaica,<=50K,22-26,Без детей,0.3346102347701201
6635,49,Private,110015,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45,Greece,<=50K,47-51,Без детей,0.17756713274120037
6636,54,Private,152652,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,65,United-States,<=50K,52-56,Без детей,0.3398555276099994
6637,46,Federal-gov,43206,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,1564.0,50,United-States,>50K,42-46,Без детей,0.21460701791212417
6638,31,Self-emp-not-inc,114639,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50,United-States,<=50K,27-31,Без детей,0.3034440578738768
6639,43,Self-emp-inc,221172,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1977.0,40,United-States,>50K,42-46,Без детей,0.20661407146868524
6641,19,Private,131615,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40,United-States,<=50K,17-21,С детьми,0.8474188010963154
6642,46,Private,353824,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K,42-46,Без детей,0.16039291012440984
6643,43,Private,178417,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K,42-46,Без детей,0.1728447494254237
6644,58,Private,178644,HS-grad,9,Widowed,Craft-repair,Unmarried,White,Male,0.0,0.0,40,United-States,<=50K,57-61,Без детей,0.24832723003811255
6645,43,Self-emp-not-inc,271665,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,45,United-States,<=50K,42-46,Без детей,0.14966522536915508
6647,21,Federal-gov,169003,12th,8,Never-married,Adm-clerical,Own-child,Black,Male,0.0,0.0,25,United-States,<=50K,17-21,С детьми,0.6770352443284229
6648,52,State-gov,338816,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,70,United-States,>50K,52-56,Без детей,0.35650393173088346
6649,34,Private,506858,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,32,United-States,>50K,32-36,Без детей,0.36435751867549293
6650,28,Private,265628,Assoc-voc,11,Never-married,Handlers-cleaners,Own-child,White,Female,0.0,0.0,40,United-States,<=50K,27-31,С детьми,0.7203022390393012
6651,34,Private,173495,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K,32-36,Без детей,0.3515886450433445
